id,name,imageUrl
1,Taylor Swift,https://www.billboard.com/wp-content/uploads/2022/10/taylor-swift-self-titled-billboard-1240.jpg
2,Fearless (Taylor's Version),https://www.billboard.com/wp-content/uploads/2021/04/Taylor-Swift-fearless-album-art-cr-Beth-Garrabrant-billboard-1240-1617974663.jpg
3,Speak Now (Taylor's Version),https://www.billboard.com/wp-content/uploads/2023/05/Speak-Now-Taylors-Version-billboard-1240.jpg
4,Red (Taylor's Version),https://www.billboard.com/wp-content/uploads/2022/10/taylor-swift-red-taylors-version-billboard-1240.jpg
5,1989 (Taylor's Version),https://lastfm.freetls.fastly.net/i/u/ar0/a662b22aea268dcf798a26d4ebdf6c26.jpg
6,Reputation,https://www.billboard.com/wp-content/uploads/2022/10/taylor-swift-reputation-billboard-1240.jpg
7,Lover,https://www.billboard.com/wp-content/uploads/media/Taylor-Swift-Lover-album-art-2019-billboard-1240.jpg
8,Folklore,https://www.billboard.com/wp-content/uploads/2020/12/Taylor-swift-folklore-cover-billboard-1240-1607121703.jpg
9,Evermore,https://www.billboard.com/wp-content/uploads/2020/12/taylor-swift-cover-2020-billboard-1240-1607612466.jpg
10,Midnights,https://www.billboard.com/wp-content/uploads/2022/10/taylor-swift-midnights-album-cover-2022-billboard-1240.jpg